Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 305, Row: 9, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c7d4811782d3dd900b
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 309, Row: 12, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c1d4811782d3dceefd
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 307, Row: 9, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c7d4811782d3dd9197
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 326, Row: 10, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e9af05d4811782d3be5745
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 324, Row: 10, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c2d4811782d3dd154b
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 308, Row: 11, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c5d4811782d3dd68c2
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 306, Row: 11, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428cad4811782d3ddd6c3
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 327, Row: 10, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428ccd4811782d3de1ff6
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 304, Row: 40, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/6764fc79b98988f2db9805ee
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 313, Row: 13, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428bcd4811782d3dc80de
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 312, Row: 13, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c1d4811782d3dcf083
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 317, Row: 12, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c8d4811782d3ddb5d0
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 321, Row: 13, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428cad4811782d3ddd578
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 310, Row: 12, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c8d4811782d3ddb581
Date: 07-04-2025, Home Team: Dbacks, Away Team: Royals, Section: 311, Row: 13, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-4-2025-phoenix-az-chase-field/events/66a171bb47d07f0c7229d228/listings/67e428c5d4811782d3dd66b5
