Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 325, Row: 12, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e32057d4811782d3362959
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 308, Row: 14, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e32025d4811782d3306f2c
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 326, Row: 13, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e32025d4811782d330751c
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 305, Row: 10, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e3202ad4811782d330f00e
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 327, Row: 13, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e3202cd4811782d3312936
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 306, Row: 15, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e3202ed4811782d3314f9a
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 324, Row: 13, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e3203dd4811782d332b808
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 309, Row: 14, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67e4d968d4811782d3f30565
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 323, Row: 13, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67ecac47d4811782d32d68ca
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 307, Row: 11, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-17-2025-phoenix-az-chase-field/events/66a1712fe6f5d70d01cdf3ea/listings/67ef5a0b0b271341d1367429
