Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 309, Row: 13, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32057d4811782d3362b72
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 307, Row: 10, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e3203ad4811782d33257c2
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 326, Row: 13, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32056d4811782d336119a
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 324, Row: 11, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67ea0d09d4811782d3688fe4
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 306, Row: 13, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e3203ad4811782d3325dae
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 330, Row: 2, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67896e6e5f5eedb9b55126b0
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 325, Row: 24, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67a67ecd3e2207e70bee1c8c
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 332, Row: 29, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e45b96d4811782d35d7fc4
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 301, Row: 32, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e45b94d4811782d35d5be4
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 331, Row: 32, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e45ba6d4811782d35ed774
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 300, Row: 29, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e45b86d4811782d35c2cf4
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 329, Row: 19, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67a67ed23e2207e70bef0bf4
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 302, Row: 32, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e45b91d4811782d35d205f
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 313, Row: 12, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32059d4811782d3364d22
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 312, Row: 13, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32031d4811782d3319ab6
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 317, Row: 13, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32046d4811782d333fdd5
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 321, Row: 13, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e3204cd4811782d334ff99
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 310, Row: 12, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32025d4811782d3306fdd
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 311, Row: 13, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32031d4811782d331a033
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 316, Row: 16, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e3203fd4811782d332f341
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 322, Row: 12, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32046d4811782d333f277
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 320, Row: 13, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e3204cd4811782d334ebca
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 318, Row: 12, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32035d4811782d331e5a5
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 315, Row: 15, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67edfe0bd4811782d3ebf3a2
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 314, Row: 13, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e32049d4811782d33489ea
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 309, Row: 23, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67a67ecd3e2207e70bee1c7b
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 324, Row: 1, Price: $64.00, Est. Price: $64.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67c87482dec8018c763d7d30
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 140, Row: 21, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67c3f5c0dec8018c768135a9
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 308, Row: 22, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67a67ee13e2207e70bf1d391
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 306, Row: 40, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e45b8bd4811782d35cad98
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 320, Row: 23, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67a67ee43e2207e70bf25c03
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 314, Row: 23, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67a67eca3e2207e70bedac22
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 319, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e45b94d4811782d35d5ac9
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 320, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e45b9dd4811782d35e2635
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 315, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e45b8bd4811782d35caff7
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 313, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67e45b98d4811782d35dcc8a
Date: 06-14-2025, Home Team: Dbacks, Away Team: Padres, Section: 318, Row: 22, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-14-2025-phoenix-az-chase-field/events/66a1718a038006e954b881b8/listings/67a67edf3e2207e70bf16e03
