Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 300, Row: 16, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9097643366
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 300, Row: 17, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9091282214
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 300, Row: 18, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9098830091
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 332, Row: 12, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9097629796
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 332, Row: 14, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9102063199
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 332, Row: 15, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9109891822
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 332, Row: 16, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9111202571
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 332, Row: 17, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9097636608
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 309, Row: 9, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9077171963
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 308, Row: 9, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8833265648
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 323, Row: 9, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9026550596
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 306, Row: 9, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8829741268
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 326, Row: 15, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8829729780
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 100, Row: 1, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8799148329
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 310, Row: 19, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8937084650
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 316, Row: 9, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8936888157
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 324, Row: 9, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9025309519
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 324, Row: 10, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9025309522
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 307, Row: 17, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9103412086
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 324, Row: 12, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9102708423
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 324, Row: 13, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9099703685
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 305, Row: 8, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9025309365
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 326, Row: 8, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9029082024
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 326, Row: 9, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9025309532
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 326, Row: 10, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9102310962
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 326, Row: 11, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9097582753
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 326, Row: 12, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=9097640519
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 104, Row: 14, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8793061845
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 103, Row: 14, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8793061815
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 141, Row: 11, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8793056774
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 144, Row: 11, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8793061944
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 317, Row: 9, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8936712126
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 312, Row: 10, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8833280916
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 133, Row: 13, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8024663988
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 310, Row: 9, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8833281008
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 321, Row: 9, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8829729645
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 313, Row: 11, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8986732337
Date: 05-26-2025, Home Team: Dbacks, Away Team: Pirates, Section: 319, Row: 10, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-26-2025/event/154662879/?quantity=2&listingId=8829729575
