Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 323, Row: 36, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/6764fad0b98988f2db63a8a5
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 301, Row: 32, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/67e2def0d4811782d332c85f
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 302, Row: 21, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/67b261a92f94efc81022d1bc
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 327, Row: 12, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/67e71fc5d4811782d348839b
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 310, Row: 32, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/67e75844d4811782d302704b
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 326, Row: 13, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/67eb6a74d4811782d3022797
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 323, Row: 14, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/67eed47d0b271341d1580aeb
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 325, Row: 13, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/67eee6980b271341d14fb92f
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 307, Row: 14, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/67eee6a10b271341d1510239
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 309, Row: 16, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/67eee6a50b271341d151a848
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 305, Row: 13, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/67eee6b40b271341d1535ff1
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 306, Row: 11, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/67eee6b60b271341d1539750
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 308, Row: 14, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/67f00c390b271341d13500e2
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 324, Row: 14, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/67f02fb40b271341d18f9527
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 330, Row: 21, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/67a6869f3e2207e70babec90
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 313, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/6764fad0b98988f2db638df1
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 331, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/67ef46150b271341d16e9d1c
Date: 05-11-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 317, Row: 32, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-11-2025-phoenix-az-chase-field/events/66a1711d56d58dfc9c0ea5d1/listings/6764faceb98988f2db63642e
