Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 308, Row: 11, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447fad4811782d39e91df
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 325, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447f3d4811782d39dafd4
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 323, Row: 11, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447e2d4811782d39b3f32
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 305, Row: 9, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447fed4811782d39f3a36
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 306, Row: 13, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e4482dd4811782d3a689fb
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 330, Row: 2, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67896e445f5eedb9b54cb8e0
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 327, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447e2d4811782d39b4008
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 309, Row: 13, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447f1d4811782d39d59b8
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 307, Row: 9, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447d8d4811782d399dfb6
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 326, Row: 13, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447f8d4811782d39e5d65
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 311, Row: 11, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/670ea15ff0923f9bcda529ba
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 324, Row: 12, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447fad4811782d39e9b80
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 321, Row: 20, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67a683f03e2207e70b721d51
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 321, Row: 9, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/670ea167f0923f9bcda5dde0
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 308, Row: 17, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67a683e33e2207e70b70c1f6
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 332, Row: 29, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e45e55d4811782d3b05c74
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 301, Row: 32, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e45e6ed4811782d3b4f780
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 331, Row: 32, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e45e42d4811782d3adcb81
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 307, Row: 16, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67a683e83e2207e70b714e53
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 300, Row: 32, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e45e69d4811782d3b43815
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 325, Row: 16, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67a683e83e2207e70b714e2e
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 315, Row: 15, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447dfd4811782d39ae6c7
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 314, Row: 12, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e4481ad4811782d3a382ff
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 313, Row: 13, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447e8d4811782d39c36c6
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 312, Row: 13, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e44822d4811782d3a498f5
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 317, Row: 12, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447f3d4811782d39dbecc
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 310, Row: 11, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e44807d4811782d3a08c88
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 316, Row: 16, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447ebd4811782d39c8e7e
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 322, Row: 12, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e44807d4811782d3a096cf
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 319, Row: 9, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67a683ea3e2207e70b717f29
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 320, Row: 13, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447ebd4811782d39c930a
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 318, Row: 13, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447e2d4811782d39b474c
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 305, Row: 40, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e45e93d4811782d3b99c1a
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 101, Row: 22, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e15d34d4811782d3eacce0
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 104, Row: 14, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67b4e85a2f94efc810d70919
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 144, Row: 11, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67b4e85a2f94efc810d70953
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 103, Row: 14, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67b4e85a2f94efc810d7097a
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 108, Row: 30, Price: $64.00, Est. Price: $64.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/670ea169f0923f9bcda6062a
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 313, Row: 8, Price: $64.00, Est. Price: $64.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67896e4a5f5eedb9b54d3b96
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 319, Row: 17, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67a683e93e2207e70b716533
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 310, Row: 3, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/670ea164f0923f9bcda5a136
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 139, Row: 31, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67a683eb3e2207e70b71971e
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 138, Row: 37, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e44807d4811782d3a094ce
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 142, Row: 26, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e44800d4811782d39f8fb3
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 106, Row: 32, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e44829d4811782d3a5851e
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 107, Row: 30, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447fcd4811782d39eea23
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 137, Row: 37, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e4480ed4811782d3a19fc2
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 141, Row: 25, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e44818d4811782d3a33a8a
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 136, Row: 38, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e44811d4811782d3a235c3
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 108, Row: 35, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e4481cd4811782d3a3c3dd
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 103, Row: 23, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447e8d4811782d39c2833
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 105, Row: 27, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e44818d4811782d3a33f52
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 102, Row: 21, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e44826d4811782d3a50e0e
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 104, Row: 25, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447ddd4811782d39a9e48
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 311, Row: 2, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67896e515f5eedb9b54e05bb
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 143, Row: 21, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e447f3d4811782d39db35e
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 140, Row: 28, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67a683e73e2207e70b7131ce
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 319, Row: 32, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e45e65d4811782d3b39f40
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 320, Row: 32, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e45e64d4811782d3b36c77
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 318, Row: 32, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e45e89d4811782d3b83b84
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 111, Row: 11, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67b4e8ba2f94efc810e11cfa
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 105, Row: 18, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67e15d37d4811782d3eaff15
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 133, Row: 9, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67b4ea3e2f94efc8100a424a
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 102, Row: 26, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67a683de3e2207e70b70218a
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 142, Row: 13, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/678683f15f5eedb9b59e2f1a
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 111, Row: 6, Price: $73.00, Est. Price: $73.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67b4e8ba2f94efc810e11d02
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 134, Row: 3, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67b4ea6f2f94efc81011596f
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 137, Row: 27, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67a683ec3e2207e70b71af8c
Date: 07-20-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 143, Row: 12, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-20-2025-phoenix-az-chase-field/events/66a171d958b8bfb415f88398/listings/67896e765f5eedb9b5523a75
