Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 323, Row: 11, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e4482dd4811782d3a6838b
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 305, Row: 9, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e447edd4811782d39cc82a
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 327, Row: 10, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e447ebd4811782d39c8b25
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 309, Row: 13, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e4480cd4811782d3a13876
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 307, Row: 9, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e447ebd4811782d39c8d4e
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 326, Row: 13, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e447fad4811782d39e8f60
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 324, Row: 12, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e44815d4811782d3a2fa2b
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 308, Row: 11, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e447efd4811782d39d0d5d
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 306, Row: 13, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e8b4b5d4811782d344e0ef
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 323, Row: 20, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67a683f23e2207e70b724906
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 332, Row: 30, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e45e75d4811782d3b62b88
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 301, Row: 32, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e45e5bd4811782d3b1a120
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 309, Row: 20, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67eaf1acd4811782d38ff123
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 331, Row: 32, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e45e97d4811782d3ba3f0a
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 330, Row: 2, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67896e7d5f5eedb9b55339d9
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 300, Row: 31, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e45e7fd4811782d3b6f0e8
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 313, Row: 12, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e44805d4811782d3a03ac9
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 312, Row: 13, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e44818d4811782d3a34691
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 317, Row: 13, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e4480cd4811782d3a13329
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 321, Row: 13, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e4482fd4811782d3a6c5b2
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 310, Row: 12, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e447e8d4811782d39c248d
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 311, Row: 13, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e4481cd4811782d3a3cfcd
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 316, Row: 16, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e447efd4811782d39d19b8
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 322, Row: 12, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e4481ad4811782d3a374e3
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 320, Row: 13, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e4480ed4811782d3a1a147
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 318, Row: 12, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e44811d4811782d3a23a88
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 315, Row: 15, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e44826d4811782d3a50e72
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 314, Row: 13, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e44805d4811782d3a04530
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 308, Row: 20, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67a683e33e2207e70b70c213
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 140, Row: 21, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67c3f5c0dec8018c768134b3
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 313, Row: 22, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67a683ec3e2207e70b71afa7
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 316, Row: 9, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67896e7a5f5eedb9b552cba6
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 324, Row: 19, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67a683ec3e2207e70b71af92
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 140, Row: 13, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e15d32d4811782d3eaab52
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 319, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e45e6fd4811782d3b54623
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 320, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e45e56d4811782d3b0c03d
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 318, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e45e78d4811782d3b65f34
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 315, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e45e57d4811782d3b0c454
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 103, Row: 20, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67eae78fd4811782d33c8516
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 105, Row: 21, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e447dfd4811782d39af545
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 102, Row: 21, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e4481ad4811782d3a378a6
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 104, Row: 19, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e447edd4811782d39cd6d1
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 318, Row: 20, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67a683ed3e2207e70b71cc49
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 103, Row: 14, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67b502262f94efc8109e8f3e
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 101, Row: 22, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e15d37d4811782d3eb01dc
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 104, Row: 14, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67b502262f94efc8109e8f5d
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 144, Row: 11, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67b502262f94efc8109e8f9d
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 105, Row: 31, Price: $78.00, Est. Price: $78.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67a683dc3e2207e70b6fe986
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 136, Row: 37, Price: $79.00, Est. Price: $79.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67a683e73e2207e70b7131c8
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 310, Row: 3, Price: $80.00, Est. Price: $80.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/670ea1b8f0923f9bcdad1cd9
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 111, Row: 11, Price: $81.00, Est. Price: $81.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67b502872f94efc810a5e336
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 138, Row: 27, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e45e4cd4811782d3af18c7
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 137, Row: 32, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e45e80d4811782d3b70e65
Date: 07-19-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 108, Row: 32, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-19-2025-phoenix-az-chase-field/events/66a171d5038006e954b881c8/listings/67e45e64d4811782d3b3723d
