Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 213, Row: 9, Price: $86.00, Est. Price: $86.00, URL: https://gametime.co/concert/phil-wickham-and-brandon-lake-tickets/7-31-2025-phoenix-az-phx-arena/events/67c8d015707e07c4ca07c896/listings/67db69cedec8018c76f0b47c?queryId=e1b100cd1591a87de85533ccb0298c2b&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 201, Row: 11, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/concert/phil-wickham-and-brandon-lake-tickets/7-31-2025-phoenix-az-phx-arena/events/67c8d015707e07c4ca07c896/listings/67dc476ed4811782d314ea50?queryId=e1b100cd1591a87de85533ccb0298c2b&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 222, Row: 12, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/concert/phil-wickham-and-brandon-lake-tickets/7-31-2025-phoenix-az-phx-arena/events/67c8d015707e07c4ca07c896/listings/67e2fd2bd4811782d3e82015?queryId=e1b100cd1591a87de85533ccb0298c2b&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 218, Row: 12, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/concert/phil-wickham-and-brandon-lake-tickets/7-31-2025-phoenix-az-phx-arena/events/67c8d015707e07c4ca07c896/listings/67eeba430b271341d1b9b33a?queryId=e1b100cd1591a87de85533ccb0298c2b&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 205, Row: 10, Price: $88.00, Est. Price: $88.00, URL: https://gametime.co/concert/phil-wickham-and-brandon-lake-tickets/7-31-2025-phoenix-az-phx-arena/events/67c8d015707e07c4ca07c896/listings/67db5e85dec8018c76d44275?queryId=e1b100cd1591a87de85533ccb0298c2b&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 220, Row: 13, Price: $88.00, Est. Price: $88.00, URL: https://gametime.co/concert/phil-wickham-and-brandon-lake-tickets/7-31-2025-phoenix-az-phx-arena/events/67c8d015707e07c4ca07c896/listings/67e25604d4811782d34132aa?queryId=e1b100cd1591a87de85533ccb0298c2b&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 216, Row: 10, Price: $89.00, Est. Price: $89.00, URL: https://gametime.co/concert/phil-wickham-and-brandon-lake-tickets/7-31-2025-phoenix-az-phx-arena/events/67c8d015707e07c4ca07c896/listings/67de5f69d4811782d3ca2484?queryId=e1b100cd1591a87de85533ccb0298c2b&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 208, Row: 9, Price: $90.00, Est. Price: $90.00, URL: https://gametime.co/concert/phil-wickham-and-brandon-lake-tickets/7-31-2025-phoenix-az-phx-arena/events/67c8d015707e07c4ca07c896/listings/67db6067dec8018c76008403?queryId=e1b100cd1591a87de85533ccb0298c2b&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 209, Row: 8, Price: $90.00, Est. Price: $90.00, URL: https://gametime.co/concert/phil-wickham-and-brandon-lake-tickets/7-31-2025-phoenix-az-phx-arena/events/67c8d015707e07c4ca07c896/listings/67dc4897d4811782d337dc31?queryId=e1b100cd1591a87de85533ccb0298c2b&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 203, Row: 10, Price: $91.00, Est. Price: $91.00, URL: https://gametime.co/concert/phil-wickham-and-brandon-lake-tickets/7-31-2025-phoenix-az-phx-arena/events/67c8d015707e07c4ca07c896/listings/67db6067dec8018c760083b0?queryId=e1b100cd1591a87de85533ccb0298c2b&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
