Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 141, Row: 11, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8058147799
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 144, Row: 11, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8561524818
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 313, Row: 8, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936705548
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 102, Row: 18, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936705652
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 102, Row: 19, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936704627
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 307, Row: 2, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8827481566
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 310, Row: 3, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936275968
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 305, Row: 1, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936705052
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 103, Row: 17, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936277360
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 306, Row: 2, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936275934
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 324, Row: 2, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936277025
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 139, Row: 17, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936275981
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 107, Row: 29, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=8936277343
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 304, Row: 8, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9113446496
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 304, Row: 9, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9023942010
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 300, Row: 2, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9023941873
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 304, Row: 11, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9112306771
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 328, Row: 8, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9023944691
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 328, Row: 9, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9023944692
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 328, Row: 12, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9114157940
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 329, Row: 8, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-4-24-2025/event/154654624/?quantity=2&listingId=9023944694
